sensorId:Sensor1, time: 1378671482107, value: 1516102473,
sensorId:Sensor3, time: 1378671482110, value: 1517256719,
sensorId:Sensor2, time: 1378671482110, value: 1517256719,
sensorId:Sensor1, time: 1378671482209, value: 1470702102,
sensorId:Sensor3, time: 1378671482210, value: 1469932605,
sensorId:Sensor2, time: 1378671482211, value: 1469932605,
sensorId:Sensor1, time: 1378671482310, value: 1409527027,
sensorId:Sensor2, time: 1378671482311, value: 1409911776,
sensorId:Sensor3, time: 1378671482311, value: 1409911776,
sensorId:Sensor1, time: 1378671482411, value: 1743873822,
sensorId:Sensor2, time: 1378671482411, value: 1743873822,
sensorId:Sensor3, time: 1378671482411, value: 1743873822,
sensorId:Sensor1, time: 1378671482512, value: 1673464773,
sensorId:Sensor2, time: 1378671482512, value: 1673464773,
sensorId:Sensor3, time: 1378671482512, value: 1673464773,
sensorId:Sensor3, time: 1378671482613, value: 1712324412,
sensorId:Sensor1, time: 1378671482613, value: 1712324412,
sensorId:Sensor2, time: 1378671482613, value: 1712324412,
sensorId:Sensor3, time: 1378671482714, value: 1651149337,
sensorId:Sensor1, time: 1378671482714, value: 1651149337,
sensorId:Sensor2, time: 1378671482714, value: 1651149337,
sensorId:Sensor3, time: 1378671482814, value: 1591128508,
sensorId:Sensor2, time: 1378671482814, value: 1591128508,
sensorId:Sensor1, time: 1378671482814, value: 1591128508,
sensorId:Sensor3, time: 1378671482915, value: 361855772,
sensorId:Sensor1, time: 1378671482915, value: 361855772,
sensorId:Sensor2, time: 1378671482915, value: 361855772,
sensorId:Sensor3, time: 1378671483016, value: 303758688,
sensorId:Sensor2, time: 1378671483016, value: 303758688,
sensorId:Sensor1, time: 1378671483016, value: 303758688,
sensorId:Sensor3, time: 1378671483117, value: 342618327,
sensorId:Sensor1, time: 1378671483117, value: 342618327,
sensorId:Sensor2, time: 1378671483117, value: 342618327,
sensorId:Sensor3, time: 1378671483218, value: 269131287,
sensorId:Sensor1, time: 1378671483218, value: 269131287,
sensorId:Sensor2, time: 1378671483218, value: 269131287,
sensorId:Sensor3, time: 1378671483318, value: 209110459,
sensorId:Sensor2, time: 1378671483319, value: 209495208,
sensorId:Sensor1, time: 1378671483319, value: 209495208,
sensorId:Sensor3, time: 1378671483419, value: 543457253,
sensorId:Sensor1, time: 1378671483420, value: 545380998,
sensorId:Sensor2, time: 1378671483420, value: 545380998,
sensorId:Sensor3, time: 1378671483520, value: 497672134,
sensorId:Sensor2, time: 1378671483520, value: 497672134,
sensorId:Sensor1, time: 1378671483520, value: 497672134,
sensorId:Sensor3, time: 1378671483621, value: 536531773,
sensorId:Sensor1, time: 1378671483621, value: 536531773,
sensorId:Sensor2, time: 1378671483621, value: 536531773,
sensorId:Sensor3, time: 1378671483722, value: 475356698,
sensorId:Sensor2, time: 1378671483722, value: 475356698,
sensorId:Sensor1, time: 1378671483722, value: 475356698,
sensorId:Sensor3, time: 1378671483823, value: 415720618,
sensorId:Sensor2, time: 1378671483823, value: 415720618,
sensorId:Sensor1, time: 1378671483823, value: 415720618,
sensorId:Sensor3, time: 1378671483923, value: 737370699,
sensorId:Sensor2, time: 1378671483924, value: 739294443,
sensorId:Sensor1, time: 1378671483924, value: 739294443,
sensorId:Sensor3, time: 1378671484024, value: 777769333,
sensorId:Sensor2, time: 1378671484024, value: 778154082,
sensorId:Sensor1, time: 1378671484024, value: 778154082,
sensorId:Sensor3, time: 1378671484125, value: 718133254,
sensorId:Sensor2, time: 1378671484125, value: 718133254,
sensorId:Sensor1, time: 1378671484125, value: 718133254,
sensorId:Sensor3, time: 1378671484226, value: 669270144,
sensorId:Sensor1, time: 1378671484226, value: 669270144,
sensorId:Sensor2, time: 1378671484226, value: 669270144,
sensorId:Sensor3, time: 1378671484327, value: 609634064,
sensorId:Sensor1, time: 1378671484327, value: 609634064,
sensorId:Sensor2, time: 1378671484327, value: 609634064,
sensorId:Sensor1, time: 1378671484428, value: 945519854,
sensorId:Sensor3, time: 1378671484427, value: 945519854,
sensorId:Sensor2, time: 1378671484428, value: 945519854,
sensorId:Sensor1, time: 1378671484528, value: 971682779,
sensorId:Sensor2, time: 1378671484528, value: 971682779,
sensorId:Sensor3, time: 1378671484528, value: 971682779,
sensorId:Sensor1, time: 1378671484629, value: 912046700,
