 N-6PFYW,1.6868328173579656,20140223211714
N-8HOVD,1.3286374250033826,20140223211714
N-UFCUA,1.0302076858318154,20140223211714
N-2GWON,0.4134818041879971,20140223211714
N-6PFYW,2.634212400538461,20140223211744
N-8HOVD,0.46623166519738407,20140223211744
N-2GWON,-0.7689599586652791,20140223211744
N-UFCUA,-1.8961328153326635,20140223211744
N-6PFYW,0.5597407208667219,20140223211814
N-8HOVD,0.555840331449426,20140223211814
N-UFCUA,2.6667196504043513,20140223211814
N-2GWON,-0.49279792866754296,20140223211814
N-6PFYW,-0.16827536735413554,20140223211844
N-8HOVD,-0.1314381802557461,20140223211844
N-UFCUA,-0.352533163667299,20140223211844
N-2GWON,-1.0929212135307476,20140223211844
N-6PFYW,0.2198108903350298,20140223211914
N-UFCUA,0.08342069077056549,20140223211914
N-8HOVD,1.4680237977106638,20140223211914
N-2GWON,0.6604313600868541,20140223211914
N-6PFYW,0.4202860909079388,20140223211944
N-UFCUA,0.14653729755396805,20140223211944
N-8HOVD,-1.773213929761435,20140223211944
N-2GWON,0.6340708814279228,20140223211944
N-6PFYW,-0.6063964536260025,20140223212014
N-UFCUA,0.6646969503000265,20140223212014
N-8HOVD,0.9355917932453289,20140223212014
N-2GWON,0.9085395898034286,20140223212014
N-6PFYW,0.674925724294817,20140223212044
N-8HOVD,0.22968972006413768,20140223212044
N-UFCUA,-0.6053374778237824,20140223212044
N-2GWON,0.9742816994587241,20140223212044
N-6PFYW,1.6687029396086124,20140223212114
N-8HOVD,-0.23619731633708774,20140223212114
N-UFCUA,1.9011412091097843,20140223212114
N-2GWON,-0.4243216255710182,20140223212114
N-6PFYW,-0.9113001779689357,20140223212144
N-8HOVD,-0.2383342004086746,20140223212144
N-UFCUA,-2.440669675727736,20140223212144
N-2GWON,0.3658156426235025,20140223212144
N-6PFYW,-0.7485813305903852,20140223212214
N-8HOVD,1.1335808703999233,20140223212214
N-2GWON,0.002291693915352448,20140223212214
N-UFCUA,-0.757136071905129,20140223212214
N-6PFYW,0.8731352876645005,20140223212244
N-8HOVD,-0.2530149770734236,20140223212244
N-2GWON,0.8896205066905746,20140223212244
N-UFCUA,1.3335078234413642,20140223212244
N-6PFYW,1.985294112581422,20140223212314
N-8HOVD,1.0271103316803771,20140223212314
N-2GWON,0.7409449363134494,20140223212314
N-UFCUA,0.42249453295642087,20140223212314
N-6PFYW,0.5618407728714566,20140223212344
N-8HOVD,-0.7110498372574867,20140223212344
N-2GWON,-2.0145890772108905,20140223212344
N-UFCUA,-1.0639392260527556,20140223212344
N-8HOVD,0.07038600853705708,20140223212414
N-6PFYW,0.642519748002713,20140223212414
N-2GWON,0.28048277783469266,20140223212414
N-UFCUA,-0.4004103736896614,20140223212414
N-8HOVD,-0.3389407886017245,20140223212444
N-6PFYW,2.041063817445582,20140223212444
N-2GWON,-0.7244758349602961,20140223212444
N-UFCUA,1.4002545688505734,20140223212444
N-8HOVD,-0.02144588432014325,20140223212514
N-6PFYW,-0.4331655575512126,20140223212514
N-2GWON,-0.023148421801961427,20140223212514
